sales,ad,reps,eff
260.30,5,3,4
286.10,7,5,2
279.40,6,3,3
410.80,9,4,4
438.20,12,6,1
315.30,8,3,4
565.10,11,7,3
570.00,16,8,2
426.10,13,4,3
315.00,7,3,4
403.60,10,6,1
220.50,4,4,1
343.60,9,4,3
644.60,17,8,4
520.40,19,7,2
329.50,9,3,2
426.00,11,6,4
343.20,8,3,3
450.40,13,5,4
421.80,14,5,2
245.60,7,4,4
503.30,16,6,3
375.70,9,5,3
265.50,5,3,3
620.60,18,6,4
450.50,18,5,3
270.10,5,3,2
368.00,7,6,2
556.10,12,7,1
570.00,13,6,4
318.50,8,4,3
260.20,6,3,2
667.00,16,8,2
618.30,19,8,2
525.30,17,7,4
332.20,10,4,3
393.20,12,5,3
283.50,8,3,3
376.20,10,5,4
481.80,12,5,2
